Channels,Training,SSIM
KI67,real,0.841459811522432
KI67,real,0.7931347533408583
KI67,real,0.8413678052177102
KI67,real,0.8448344942270055
KI67,real,0.8312578006702808
KI67,real,0.8328560842902745
KI67,real,0.7737703968268187
KI67,real,0.8505461109364446
KI67,real,0.8274090305381262
KI67,real,0.780138089615314
KI67,real,0.8089178990077376
KI67,real,0.8448541746088413
KI67,real,0.8068232538039094
KI67,real,0.8024769267104337
KI67,real,0.8231175984108406
KI67,real,0.7804346544640719
KI67,real,0.850495685799762
KI67,real,0.7974158931951694
KI67,real,0.7733739817002991
KI67,real,0.8443909936330333
KI67,real,0.785310052331337
KI67,real,0.8233739662609533
KI67,real,0.8440837264728377
KI67,real,0.8102983111546941
KI67,real,0.8422153771836229
KI67,real,0.8408424214020984
KI67,real,0.8508084836178919
KI67,real,0.8436697458955472
KI67,real,0.8440146899096955
KI67,real,0.7904182602090547
KI67,real,0.8484902072982493
KI67,real,0.7996646303316804
KI67,real,0.8387302268336323
KI67,real,0.8508715629667973
KI67,real,0.7979086841129126
KI67,real,0.8399637676857664
KI67,real,0.8448061781700783
KI67,real,0.7983461125174968
KI67,real,0.8238259804123033
KI67,real,0.7878389777576894
KI67,real,0.8252877232874317
KI67,real,0.8348293400853525
KI67,real,0.8461829734323244
KI67,real,0.8324308897695943
KI67,real,0.790876320275637
KI67,real,0.8374639399408393
KI67,real,0.840076489978736
KI67,real,0.8452403417047577
KI67,real,0.8292046804752408
KI67,real,0.8084440053354531
KI67,synthetic,0.8417344722704244
KI67,synthetic,0.8243390972829737
KI67,synthetic,0.8254815442987903
KI67,synthetic,0.8437373158417163
KI67,synthetic,0.8441030785415208
KI67,synthetic,0.8232594480265821
KI67,synthetic,0.7873804801703455
KI67,synthetic,0.8389465700939037
KI67,synthetic,0.8292389299375115
KI67,synthetic,0.8036305541200518
KI67,synthetic,0.8390699146287668
KI67,synthetic,0.8369768674511696
KI67,synthetic,0.8407500721824941
KI67,synthetic,0.8349941868109511
KI67,synthetic,0.838197863833745
KI67,synthetic,0.7985357235636297
KI67,synthetic,0.8171764242475666
KI67,synthetic,0.831685247131002
KI67,synthetic,0.7927437434643526
KI67,synthetic,0.8435084087864183
KI67,synthetic,0.8177817416151026
KI67,synthetic,0.8481041446233561
